gene_name,gene_id,logFC,logCPM,PValue,FDR,raw_read_count_x23908x30,raw_read_count_x23908x31,raw_read_count_x23908x16,rpkm_x23908x30,rpkm_x23908x31,rpkm_x23908x16
Gng4,14706,-2.2345450350804628,4.0848537888047725,8.857495525717149e-7,3.889613538984305e-6,248,278,16,7.4270361955882755,6.612129887379629,1.2273136110033005
Ccdc30,73332,-2.255263259392228,4.014965425869398,8.912706536251612e-7,3.912960398304316e-6,251,249,15,1.45206855880783,1.1440512188425151,0.22226770628547274
Nat8f1,66116,-8.610511887875145,2.1146398352918343,8.926352701415468e-7,3.918052448639187e-6,55,73,0,2.837491518512142,2.9910761046923535,0
NA,105244168,1.657564261620783,4.2267368949728095,8.971926613675267e-7,3.937153025216717e-6,159,123,128,1.8037456021332103,1.1081945065160292,3.719288256639593
Chchd7,66433,-2.112081531700038,4.283177616279567,8.998905732793877e-7,3.948086754999891e-6,271,333,20,6.2513855772260305,6.100760129902428,1.1817039835673673
Cxcr6,80901,2.833117650224887,1.4806013064156052,9.006460211652004e-7,3.9504952597326415e-6,18,11,30,0.9251996549051548,0.4490434467862678,3.94962551718475
NA,105246972,2.9464188223061445,1.3327707053303757,9.158867017196386e-7,4.016424539079038e-6,14,11,28,0.4289050037485378,0.2676445984780872,2.1971657316631035
Scrn3,74616,-2.262773775981846,4.021570789021119,9.241284072331809e-7,4.051638133728793e-6,235,268,15,4.515311704436903,4.089661740582302,0.7382149589287846
Slc4a3,20536,-1.6767661918177084,6.0681585402594145,9.270305517436106e-7,4.063430823942841e-6,1082,1011,94,17.227749489697683,12.784541682790133,3.833547503293999
NA,102634034,3.833763977818225,0.3367584008375433,9.290316469253291e-7,4.071269468763701e-6,4,4,17,0.03674130603512714,0.02918013593080868,0.3999587739341151
Lmbrd2,320506,-1.7090713172456464,6.825589723765842,9.363043272211652e-7,4.102200754001042e-6,1584,1997,157,18.12577435172531,18.148978133904723,4.601641198529244
E430024P14Rik,100040822,-3.819627329442028,2.730731748930069,9.456762306689066e-7,4.14231303145334e-6,100,101,2,1.6170876467928441,1.2971423953556875,0.08283907932004578
Castor1,71962,3.032468556467878,1.131797108261449,9.486901764996436e-7,4.15456377820272e-6,10,11,25,0.401403315625105,0.35067625609175124,2.570352414752039
Fcgr3,14131,2.110081043067815,2.910789034123097,9.537598918129119e-7,4.175809613285227e-6,37,63,62,1.1628249538690054,1.5724827466608973,4.990867231372796
Kcnh2,16511,-2.157825190321322,4.252793474529933,9.625170258371025e-7,4.212628689890259e-6,325,266,19,6.13672680088216,3.9890344390357555,0.9189221875708903
Gnasas1,56802,3.031790618160104,1.1320990154447848,9.626097649192607e-7,4.212628689890259e-6,11,10,25,0.4761129007040836,0.3437557605816907,2.7715899703554014
Potefam3f,78672,-8.5910513061632,2.0967623755778937,9.694440045092876e-7,4.241566919340544e-6,69,57,0,2.5921665234823377,1.7006752176793642,0
Bcl11a,14025,-1.9077419649842229,4.710270702198024,9.710854354460712e-7,4.247777237400475e-6,365,447,31,4.112385335021629,3.999826754922134,0.8946112174809043
Phf21b,271305,-3.00618385445446,3.202630203664383,9.778890637185686e-7,4.2765603328291135e-6,146,136,5,2.304269894776758,1.704716320699419,0.20212600984132828
Ddx24,27225,-1.7129131515080815,6.242692149989388,9.803994755939965e-7,4.286559224529236e-6,1039,1340,104,32.22660825378353,33.00931950001399,8.262359736682566
Zfp111,56707,1.5474769885498874,4.455148094227054,9.826658075749559e-7,4.295486610996489e-6,167,176,144,1.6335706584052228,1.367309532146625,3.6079096510855053
Rprd1a,225283,-1.6787167719498446,6.29290365543297,1.017626193084833e-6,4.447291446389243e-6,1124,1332,110,24.254908850578527,22.82812705959498,6.0799181004167995
NA,108167760,1.6269602285249314,4.375645633878288,1.0322529029798402e-6,4.510183784588555e-6,181,134,140,1.5303553728764427,0.899810873058254,3.031890147619924
Rnf150,330812,-1.6940690102541476,5.923714374505732,1.0327230632199516e-6,4.5112078467094375e-6,856,1040,84,8.227693384731975,7.939083945264709,2.068022828340023
Rab20,19332,3.834815759482913,0.33637464369055203,1.0331667072731808e-6,4.512115638041033e-6,3,5,17,0.1741649708368594,0.23053787284834157,2.527901725706492
Abcd2,26874,-1.8534083173372908,4.9826429587546635,1.0376889458073256e-6,4.5308312642929165e-6,424,560,39,7.035346079807433,7.379728033442683,1.657509112421547
Gm5431,432555,3.832706890893921,0.3371421777640481,1.0551835170022932e-6,4.606166148940195e-6,5,3,17,0.163749854775371,0.07803059068875538,1.42603947905893
Csf3r,12986,2.370013432361888,2.153771347365626,1.059180277918559e-6,4.62255845287769e-6,26,29,41,0.5300239380673919,0.4695186579476553,2.1408079144162304
Vwa1,246228,1.5685071574836287,4.34853949064239,1.0605524318487427e-6,4.627491374814594e-6,149,168,135,4.557599620377646,4.081237836036581,10.576826459647371
Copg2,54160,-1.871142011037188,4.806879932485963,1.0660132570727347e-6,4.6502580135824514e-6,398,470,34,8.306620582495738,7.79061746890157,1.817573269963141
Six3,20473,-8.63197120029163,2.1340574039820344,1.0663229019222497e-6,4.650548457369137e-6,52,78,0,1.336399501529668,1.5920631295149494,0
Nynrin,277154,1.5506610337736846,4.443187285128324,1.0668621352140773e-6,4.651839843448255e-6,159,181,143,2.086972349857891,1.8868217174094561,4.807588820884009
Laptm4a,17775,1.510328624199896,7.148793033622254,1.0692815086329552e-6,4.661326749754917e-6,918,1257,888,23.63629274504058,25.70423466216101,58.56273529486893
Dennd6b,69440,-1.868861074328458,5.164565193389867,1.0718038585330036e-6,4.671258137884273e-6,651,467,44,12.89806690564021,7.348407606410676,2.2328935625965673
NA,108167888,2.2718572954408054,2.5951779755600803,1.0801679915320962e-6,4.706639531310316e-6,49,27,53,2.7275217515267425,1.1936269819374317,7.5564831905726315
NA,102634572,4.770667574459933,-0.19107322672816235,1.0819607757559385e-6,4.709679351426057e-6,2,1,13,0.4951662275192134,0.19663179383909435,8.243963897574174
Gm26070,115485848,4.770667574459933,-0.19107322672816235,1.0819607757559385e-6,4.709679351426057e-6,2,1,13,1.4204403460952617,0.5640605472902488,23.648743151435404
NA,115489049,4.770667574459933,-0.19107322672816235,1.0819607757559385e-6,4.709679351426057e-6,2,1,13,0.1532286042638196,0.06084747636123157,2.551084891139095
5430427M07Rik,71349,4.770667574459933,-0.19107322672816235,1.0819607757559385e-6,4.709679351426057e-6,2,1,13,0.19022514898831955,0.07553890027249667,3.167035984112073
Calhm2,72691,2.7916467134581264,1.6875143951159828,1.082096400400823e-6,4.709679351426057e-6,11,23,34,0.522353245867633,0.867425468282857,4.135444892419796
NA,108168973,-3.4338970239827087,2.911986228682408,1.0986284571020426e-6,4.780545433189307e-6,116,113,3,3.4857377980460003,2.6967947290303713,0.23090306065567426
NA,115487117,1.5882461866621467,4.4044365458028505,1.1070378472620022e-6,4.8160425492641856e-6,182,144,141,3.0075797885138638,1.8899093880676,5.968106859535401
Ddx11,320209,2.4909104033588707,2.023653918493107,1.1161732444800048e-6,4.85468121996725e-6,28,20,39,0.5127808364032962,0.29089514390650895,1.8294058790212595
Serpina1b,20701,4.234035720070445,0.24523812541617343,1.1194704223704438e-6,4.867915361639478e-6,0,6,17,0,0.32537387359479614,2.9731672226554955
Cep128,75216,1.926228208727392,3.204797456254431,1.120524195296082e-6,4.871390463212892e-6,58,72,71,0.9605803395806767,0.9470456576120875,3.0118667709854297
NA,118567770,4.294678125153793,0.06920839250893714,1.121520111294671e-6,4.8746125146299276e-6,5,0,15,0.4615757291628342,0,3.546793692614199
Lrpap1,16976,-1.6884261242186345,5.720452479105502,1.1243447985718326e-6,4.885779929837582e-6,756,885,73,25.148350004406574,23.381032839728622,6.219883767455766
Abhd2,54608,1.4617918786426933,7.60825469020413,1.1281028611227513e-6,4.900997284709718e-6,1501,1536,1201,20.962759541408882,17.036944034359358,42.961800707817375
Map1lc3a,66734,-1.8297700505606427,5.589254511807386,1.131232721865435e-6,4.913479152656383e-6,597,918,61,55.586792089370995,67.88482180909611,14.547850314062988
Plcl2,224860,-1.6644056982864395,5.964092275804188,1.137055776470947e-6,4.93765051548312e-6,912,1033,88,20.008511680104444,17.999191141615178,4.945091447987258
AW209491,105351,-3.16613852154356,3.0504302943723434,1.1417493873576155e-6,4.956907426438225e-6,112,141,4,5.386860274465076,5.38603934355202,0.49277581835760303
Nr4a3,18124,-2.031758301586824,4.344097121101946,1.1500022711730244e-6,4.991604685651877e-6,295,333,22,3.7639061491896144,3.3743779475384788,0.7189706455488946
NA,102637398,2.0410276946296504,3.1948021952139305,1.1536761615722058e-6,5.006415513577005e-6,78,45,73,1.2002866944784096,0.5499657241885788,2.8772987537257806
Purg,75029,-1.67587803638062,6.021426270379312,1.156603218452871e-6,5.017979450943034e-6,924,1104,91,19.85103803615666,18.837056669586122,5.007539121710434
Gpr12,14738,-2.8667224825368027,3.320811036741448,1.1626547703216383e-6,5.043090845741081e-6,148,159,6,3.951817845420902,3.3718251650997497,0.41035351833319056
